Carimbo de data/hora,Desenvolver uma funcionalidade que não atende o que foi requisitado pelo cliente. (Building the wrong feature or product),Distribuição desordenada de tarefas. (Mismanaging the backlog),"Trabalhar em tarefas que já foram encerradas e deveriam esta corretas, gerando retrabalho. (Rework)","Desenvolvimento de códigos complexos, para solucionar coisas simples. (Unnecessarily complex solutions)","Sobrecarga de trabalho, estar envolvido em várias etapas do processo de desenvolvimento ao mesmo tempo. (Extraneous cognitive load)","Emocionalmente abalado, excesso de cobranças e conflitos, sejam pessoais ou do ambiente de trabalho. (Psychological distress)",Excesso de tempo ocioso e atribuição de tarefas multidisciplinares. (Waiting/multitasking),Má gestão do conhecimento. (Knowledge loss),"Falhas na comunicação, falta de diálogo e falta de entrosamento das pessoas ao se comunicarem.  (Ineffective communication)","10 - Adicione uma perda de produtividade que você acha relevante, mas não consta neste formulário.  ",11 - Em que estado você trabalha?
2020/08/20 8:20:35 PM GMT-3,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Tecnologia associada ao projeto,Alagoas
2020/08/20 10:26:23 PM GMT-3,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais  de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Foco e falta do uso eficaz de metodologias ágeis (SCRUM),Alagoas
2020/08/21 5:43:59 AM GMT-3,Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),,Ceará
2020/08/24 5:41:34 PM GMT-3,Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais  de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),"Desenvolver uma ferramenta ou recurso e mandar para o cliente testar, causando estresse para o usuario finak",Ceara
2020/08/25 10:50:18 AM GMT-3,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais  de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),,Pernambuco
2020/08/25 10:55:47 AM GMT-3,Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Nunca observei,Observo raramente (10% ou 20% dos projetos que participei),Observo com frequência (mais  de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Problemas ou dificuldades pessoais trazidas para o ambiente de trabalho..,Alagoas
2020/08/25 10:58:56 AM GMT-3,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais  de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),,Pernambuco
2020/08/25 11:05:51 AM GMT-3,Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Nunca observei,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),,Pernambuco
2020/08/25 11:06:37 AM GMT-3,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),Nunca observei,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),Falta de objetividade e foco.,Alagoas
2020/08/25 11:15:49 AM GMT-3,Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),,Alagoas
2020/08/25 11:25:07 AM GMT-3,Nunca observei,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Observo com frequência (mais  de 50% dos projetos que participei),Nunca observei,Observo com frequência (mais de 50% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),,Alagoas
2020/08/25 11:27:46 AM GMT-3,Observo raramente (10% ou 20% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Nunca observei,Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Falta de planejamento inicial e domínio do conhecimento básico antes do início de uma dada etapa do desenvolvimento do software ,Alagoas
2020/08/25 11:30:54 AM GMT-3,Observo raramente (10% ou 20% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Nunca observei,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",,Alagoas
2020/08/25 11:33:10 AM GMT-3,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),Aumento de responsabilidade sem recompensa proporcional,Alagoas
2020/08/25 11:34:38 AM GMT-3,Nunca observei,Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Nunca observei,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),Nunca observei,Observo com frequência (mais de 50% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),,Alagoas
2020/08/25 11:51:44 AM GMT-3,Nunca observei,Nunca observei,Nunca observei,Nunca observei,Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Nunca observei,Nunca observei,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",,Alagoas
2020/08/25 12:24:43 PM GMT-3,Observo com frequência (mais de 50% dos projetos que participei),Nunca observei,Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Nunca observei,Nunca observei,Nunca observei,Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),,Pernambuco
2020/08/25 1:12:44 PM GMT-3,Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Ausência de SLA prévios,Pernambuco
2020/08/25 1:19:26 PM GMT-3,Nunca observei,Nunca observei,Nunca observei,Nunca observei,Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Nunca observei,Observo raramente (10% ou 20% dos projetos que participei),,Pernambuco
2020/08/25 2:27:12 PM GMT-3,Nunca observei,Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),Nunca observei,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),Nunca observei,Observo raramente (10% ou 20% dos projetos que participei),Alocar profissional com um perfil a uma vaga diferente quando se podia aproveitar seu conhecimento atual no campo onde ele domina e tem motivação para trabalhar.,Alagoas
2020/08/25 2:33:23 PM GMT-3,Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais  de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),,Pernambuco
2020/08/25 4:12:31 PM GMT-3,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais  de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),uso de equipamentos defasados gerando lentidão no desenvolvimento/testes,Pernambuco
2020/08/25 10:24:24 PM GMT-3,Observo raramente (10% ou 20% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais  de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),,Paraná 
2020/08/25 10:35:46 PM GMT-3,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),,Pernambuco
2020/08/25 10:36:00 PM GMT-3,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),,Pernambuco
2020/08/26 9:43:28 AM GMT-3,Observo raramente (10% ou 20% dos projetos que participei),Nunca observei,Nunca observei,Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Nunca observei,Nunca observei,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Nunca observei,,Alagoas
2020/08/26 10:11:42 AM GMT-3,Observo raramente (10% ou 20% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais  de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),,Paraná 
2020/08/26 7:47:23 PM GMT-3,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),Nunca observei,Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",,Alagoas
2020/08/26 7:52:33 PM GMT-3,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo com frequência (mais de 50% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Observo com frequência (mais  de 50% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Reuniões desnecessárias ou mais extensas do que o necessário.,Alagoas
2020/08/27 8:59:41 AM GMT-3,Nunca observei,"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),Nunca observei,Observo com frequência (mais  de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Nunca observei,Observo raramente (10% ou 20% dos projetos que participei),,Belo Horizonte
2020/08/30 12:56:31 PM GMT-3,Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)",Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Observo raramente (10% ou 20% dos projetos que participei),Observo com frequência (mais de 50% dos projetos que participei),"Observo ocasionalmente (em mais de 20% dos projetos que participei, mas não em mais de 50%)","Participar em reuniões para discutir assuntos que podem ser resolvidos por e-mail, perde-se muito tempo com isso.",Alagoas
